index,true,pred
2,0,6
3,3,6
4,0,3
7,2,4
10,0,6
34,0,6
48,0,6
56,6,0
61,0,6
64,0,6
65,2,4
67,0,6
70,3,6
96,4,6
127,6,0
139,4,6
147,2,4
149,0,6
169,0,6
191,0,6
199,2,6
207,0,6
215,3,4
225,0,6
226,6,4
228,2,6
234,2,4
242,4,6
253,2,4
269,0,6
271,2,4
273,2,4
287,8,4
297,6,2
302,0,6
304,0,6
318,3,6
339,4,3
350,2,4
356,8,4
377,0,6
383,0,6
392,0,6
398,2,6
404,2,6
405,2,4
415,0,6
416,2,4
422,2,6
445,0,6
462,2,4
481,4,6
484,2,4
501,2,6
502,6,4
530,0,6
545,2,4
546,2,4
564,0,6
565,0,6
571,3,6
592,0,6
595,3,6
609,3,6
612,4,6
616,2,6
637,2,6
640,0,6
645,0,6
649,3,4
664,2,4
678,0,6
684,2,4
696,2,4
700,0,6
701,3,4
707,2,4
712,0,6
747,8,4
749,2,4
780,0,6
786,6,4
801,8,0
809,6,4
825,0,6
830,0,6
855,2,6
863,3,4
900,2,4
905,0,6
910,0,6
912,4,6
925,6,4
931,2,4
934,2,4
939,2,4
940,6,4
942,0,6
950,0,6
955,2,6
967,0,6
970,6,4
981,2,4
1002,2,4
1009,6,4
1013,0,6
1022,2,4
1032,4,6
1064,3,6
1068,2,6
1070,2,4
1071,0,6
1087,6,4
1103,0,6
1104,0,6
1109,2,4
1110,0,6
1119,6,0
1123,7,9
1124,2,4
1143,2,6
1150,3,4
1156,6,4
1174,2,4
1176,2,4
1188,2,4
1197,2,4
1202,0,6
1206,2,4
1210,2,4
1228,0,6
1244,2,4
1245,2,4
1252,2,4
1257,2,4
1260,2,6
1267,2,6
1279,2,6
1301,0,6
1303,0,6
1306,2,4
1311,0,6
1327,0,6
1338,4,6
1369,3,4
1371,2,4
1372,2,4
1382,8,4
1391,6,4
1393,2,4
1396,0,6
1404,2,4
1409,2,6
1419,6,3
1432,4,6
1433,2,4
1442,2,4
1456,2,4
1479,0,6
1483,3,4
1489,0,6
1516,0,6
1521,6,2
1533,2,4
1536,0,6
1547,0,6
1581,0,3
1586,2,4
1589,0,6
1590,0,6
1594,2,4
1595,2,6
1597,2,4
1600,3,6
1615,2,4
1633,2,4
1642,6,3
1645,6,4
1651,2,4
1681,0,6
1683,3,4
1684,6,4
1705,9,7
1722,6,4
1727,0,6
1752,2,4
1761,1,6
1787,3,6
1800,0,6
1821,0,6
1823,2,6
1850,0,6
1851,2,6
1853,4,2
1854,2,4
1864,2,4
1865,2,4
1874,8,4
1876,4,2
1884,0,6
1897,0,6
1907,0,6
1913,2,4
1928,2,4
1931,2,4
1932,6,4
1942,0,6
1963,2,6
1982,8,4
1994,2,4
2006,9,7
2008,2,6
2012,6,0
2025,2,4
2052,0,6
2058,0,6
2062,0,6
2065,2,4
2070,0,6
2099,0,6
2106,6,2
2108,2,4
2110,4,6
2116,2,6
2127,0,6
2132,3,4
2149,2,4
2164,4,6
2167,0,6
2170,2,6
2172,2,4
2175,2,4
2193,3,4
2211,2,4
2213,0,3
2217,3,4
2222,6,4
2223,2,4
2239,2,6
2241,4,2
2259,2,4
2264,4,6
2276,2,4
2288,9,7
2298,8,4
2319,6,4
2329,2,6
2337,3,4
2354,2,6
2363,0,6
2367,0,6
2394,6,2
2397,2,4
2405,3,6
2414,2,4
2426,0,6
2441,2,4
2451,4,6
2454,2,4
2464,4,6
2468,6,3
2483,2,4
2523,0,6
2526,0,6
2529,4,6
2543,3,4
2548,2,6
2562,2,3
2563,2,6
2573,3,4
2575,2,6
2584,2,6
2594,0,6
2595,2,4
2619,6,4
2620,2,4
2657,2,6
2661,3,4
2672,6,4
2683,1,3
2695,0,6
2702,2,4
2707,0,6
2712,0,6
2730,0,6
2741,0,6
2754,2,4
2774,6,4
2783,2,6
2786,2,4
2787,4,3
2798,6,4
2809,0,1
2814,6,4
2827,2,4
2829,3,4
2887,0,6
2889,6,4
2894,6,4
2896,0,6
2905,2,4
2912,2,6
2918,3,6
2929,2,6
2930,4,6
2938,0,3
2958,2,4
2962,0,6
2963,2,4
2980,6,4
2994,0,6
3004,2,4
3010,2,4
3033,2,4
3070,0,6
3072,0,6
3074,2,4
3086,0,6
3087,6,0
3091,2,6
3111,2,6
3121,9,7
3124,2,4
3130,0,6
3143,2,4
3165,9,7
3199,3,6
3214,2,6
3219,0,6
3226,2,4
3227,0,6
3234,6,2
3237,0,6
3242,0,3
3277,2,4
3333,0,6
3337,7,9
3340,0,6
3345,0,6
3361,6,4
3374,2,4
3376,2,4
3388,2,4
3391,2,4
3396,2,4
3404,2,4
3415,2,4
3424,6,4
3451,2,4
3470,0,6
3472,0,6
3487,3,4
3499,0,6
3502,2,4
3512,0,3
3518,2,4
3519,2,4
3525,2,0
3542,2,4
3548,0,6
3558,2,4
3564,0,6
3566,2,4
3589,6,4
3595,2,4
3598,2,4
3602,2,6
3620,0,6
3625,2,6
3628,2,6
3657,6,4
3664,8,4
3676,9,7
3694,2,6
3699,2,4
3704,2,4
3711,0,6
3719,2,6
3730,2,4
3756,2,4
3765,2,4
3785,8,6
3791,0,6
3793,2,4
3821,3,4
3829,0,3
3835,4,6
3841,2,4
3849,6,4
3853,2,4
3856,2,4
3858,2,6
3865,0,6
3884,2,4
3897,3,6
3902,2,4
3904,2,4
3912,2,6
3915,0,6
3932,8,0
3948,0,6
3950,2,4
3973,1,3
3983,8,4
4012,0,6
4027,6,3
4034,6,0
4046,6,4
4057,0,6
4069,2,4
4084,2,6
4085,0,6
4091,4,6
4131,6,4
4135,3,6
4169,2,4
4177,0,6
4208,6,4
4210,0,6
4216,2,4
4219,6,4
4228,2,4
4239,2,4
4244,2,4
4274,0,6
4306,9,7
4307,2,6
4313,8,6
4316,2,4
4317,2,4
4321,6,4
4323,2,6
4355,2,6
4375,2,4
4380,0,6
4383,2,6
4388,0,6
4391,2,4
4396,2,4
4402,4,6
