index,true,pred
2,9,7
3,4,6
4,1,9
5,1,7
6,2,6
10,4,3
13,2,5
17,3,6
18,2,3
21,3,5
24,2,6
26,3,7
27,5,7
28,4,7
33,3,5
34,4,6
35,0,7
38,3,1
39,3,6
41,2,7
42,2,7
44,1,9
47,2,0
51,5,7
55,2,4
56,5,6
59,3,6
61,1,9
63,2,6
65,1,9
66,4,9
67,9,1
70,5,6
71,9,6
72,6,3
74,3,6
75,1,9
78,3,5
79,1,0
81,5,7
82,4,6
84,7,4
86,4,7
89,4,5
90,2,3
95,6,3
97,1,6
98,4,6
99,1,7
100,8,0
105,1,9
107,5,3
112,1,9
113,7,4
118,9,4
120,2,6
121,2,6
123,2,6
126,1,9
128,5,7
130,4,3
131,7,3
133,7,4
137,1,0
144,2,4
145,4,6
146,9,3
148,5,7
149,4,6
151,6,7
153,4,3
155,8,0
159,3,6
161,8,0
162,4,7
166,9,6
167,5,3
168,1,9
169,3,6
173,5,3
175,4,3
176,1,9
179,0,5
180,4,3
181,7,5
182,5,7
183,5,8
184,1,9
186,9,7
189,0,5
191,7,5
192,8,0
193,8,9
194,2,6
197,3,5
198,5,7
203,3,6
205,9,7
207,3,9
208,9,7
212,1,9
214,9,7
215,5,3
217,5,3
227,1,0
229,3,5
233,0,1
235,6,3
239,5,6
241,3,8
251,3,6
253,3,2
254,4,3
255,1,9
260,5,3
266,3,4
267,7,5
268,4,3
270,9,7
271,2,5
272,4,3
273,9,7
277,5,7
278,9,7
279,0,7
280,8,1
282,1,3
283,2,6
288,2,6
292,6,3
293,0,8
298,6,5
299,4,3
300,2,6
301,1,7
303,2,0
304,1,8
307,9,6
310,4,3
311,1,9
312,1,8
314,3,5
315,3,2
323,1,3
324,5,7
330,1,7
331,3,6
333,3,4
335,2,6
336,4,6
337,5,3
339,5,7
342,3,6
343,4,7
344,0,6
345,4,3
346,4,6
355,6,3
356,2,3
359,5,3
360,9,0
363,4,7
366,7,6
367,3,6
368,6,5
372,4,7
375,1,9
377,3,6
378,4,3
380,5,6
381,4,7
382,7,4
388,7,3
389,1,7
392,0,5
393,1,0
395,3,6
397,8,9
398,4,3
399,4,6
400,2,5
401,0,9
403,2,3
407,0,9
411,2,8
413,7,3
414,4,3
415,0,3
416,3,5
420,4,2
421,2,6
423,2,4
424,5,6
426,5,7
428,9,7
429,4,7
430,8,9
431,5,7
433,7,5
435,4,7
440,7,3
441,8,0
446,3,5
447,4,2
449,4,5
450,5,6
454,1,7
455,0,8
456,8,0
458,4,3
459,8,0
462,5,7
467,0,9
474,2,3
476,3,6
477,4,6
478,7,6
479,3,6
483,2,6
484,4,9
487,8,6
489,4,6
490,4,3
492,7,5
493,1,7
496,8,9
498,1,7
499,7,9
500,5,6
502,2,7
507,8,6
509,8,6
510,2,7
514,7,6
515,5,3
517,3,6
519,8,3
520,4,5
521,4,3
522,2,3
527,0,8
528,4,6
532,6,4
535,5,6
537,7,4
540,2,6
541,9,0
542,5,3
544,2,3
548,3,7
550,3,5
556,6,5
561,1,8
565,1,6
566,8,0
568,1,9
569,5,3
570,7,6
572,4,6
573,5,7
575,7,5
577,9,6
580,8,9
581,4,7
582,7,3
588,6,3
589,7,6
590,1,3
591,6,8
593,1,9
596,8,0
597,3,8
601,8,3
602,8,5
605,0,6
607,5,7
609,8,0
610,8,9
613,9,6
615,9,6
616,4,5
617,1,7
618,3,4
620,6,3
621,4,2
622,4,6
624,5,7
626,0,6
627,8,9
628,0,9
629,3,7
630,2,9
632,4,6
633,6,3
635,9,3
638,3,5
639,3,8
642,4,3
644,1,9
646,2,3
647,7,6
648,2,6
649,2,6
660,4,3
661,4,6
664,9,1
666,9,3
668,9,7
669,4,6
670,5,3
671,7,3
673,2,3
674,4,6
675,5,7
676,1,9
677,4,6
681,5,3
683,9,6
684,3,5
686,5,7
689,2,4
691,3,6
693,4,6
694,0,9
696,2,6
698,0,6
700,0,9
701,2,6
703,9,5
705,4,3
707,8,6
708,0,7
710,6,3
722,7,9
724,2,3
727,7,3
728,6,3
732,5,3
734,5,3
737,2,5
739,7,3
741,8,0
742,2,3
744,7,6
745,6,3
750,5,7
753,1,4
755,6,5
756,9,7
758,4,3
761,1,0
762,5,3
763,9,0
764,4,6
765,0,6
775,2,5
776,3,6
777,8,0
778,2,3
780,4,3
781,6,3
782,0,9
784,5,3
785,3,5
786,8,0
788,3,8
792,3,5
800,2,6
801,3,6
802,2,6
803,2,3
804,2,5
805,3,5
806,3,5
809,3,5
810,2,3
812,0,9
813,5,6
815,1,7
817,5,6
819,6,3
820,2,3
824,7,9
826,8,5
829,2,5
831,4,6
836,6,3
843,0,7
844,4,7
845,3,5
846,3,5
850,3,6
852,5,3
853,5,3
855,1,6
857,3,7
858,7,6
859,8,9
860,8,9
861,3,7
864,2,4
865,3,5
868,4,9
869,3,7
873,1,9
874,1,9
875,5,7
876,4,6
878,3,7
879,1,9
882,3,5
884,9,3
885,2,0
886,9,3
887,4,3
893,1,4
895,3,6
897,8,3
901,8,0
904,4,5
907,2,6
909,8,0
912,2,6
915,9,7
916,7,5
917,1,9
919,5,7
921,6,3
922,3,5
924,2,6
927,0,3
929,6,3
930,4,5
932,5,3
936,1,9
939,4,6
944,5,7
945,4,2
948,7,3
949,3,6
951,4,7
953,9,7
955,3,6
962,1,9
963,2,7
966,4,7
967,8,0
969,3,5
973,7,5
974,0,8
975,2,3
976,4,3
978,1,9
979,4,6
981,5,6
982,4,3
984,5,7
986,2,3
988,5,6
989,0,3
990,2,6
992,3,6
994,7,6
995,3,7
997,1,7
1002,3,9
1004,4,6
1005,4,6
1008,2,4
1009,2,3
1010,3,5
1012,0,2
1014,8,0
1017,6,3
1018,4,7
1020,1,5
1021,1,3
1024,2,6
1030,3,7
1031,6,3
1033,5,3
1035,6,3
1037,1,9
1040,2,8
1041,3,5
1043,9,3
1048,3,6
1050,2,7
1052,1,9
1055,3,6
1057,3,6
1059,3,7
1060,8,0
1064,1,6
1066,5,7
1067,2,3
1068,1,7
1069,4,3
1073,9,6
1075,9,5
1076,3,9
1078,9,7
1080,8,0
1092,8,9
1098,3,5
1102,9,7
1107,2,3
1110,2,7
1112,9,7
1113,7,5
1116,8,9
1118,7,9
1120,3,6
1121,3,5
1122,2,9
1124,3,6
1129,2,6
1133,5,6
1136,5,6
1137,9,6
1139,2,0
1143,4,3
1145,1,9
1146,2,6
1147,0,6
1148,4,6
1149,7,9
1154,6,3
1156,5,9
1157,5,7
1158,4,3
1160,3,6
1161,6,8
1163,2,3
1166,0,2
1167,7,3
